movie_id,Title,Genre
20150053,The Salt of the Earth (2015),Special Interest
20150054,The Wonders (2015),Art House & International
20150054,The Wonders (2015),Drama
20150055,Going Clear: Scientology and the Prison of Belief (2015),Documentary
20150056,The Forbidden Room (2015),Comedy
20150056,The Forbidden Room (2015),Drama
20150056,The Forbidden Room (2015),Science Fiction & Fantasy
20150057,The End Of The Tour (2015),Drama
20150058,A Most Violent Year (2015),Action & Adventure
20150058,A Most Violent Year (2015),Drama
20150059,Grandma (2015),Comedy
20150060,The Duke Of Burgundy (2015),Drama
20150060,The Duke Of Burgundy (2015),Romance
20150061,In Jackson Heights (2015),Documentary
20150062,Straight Outta Compton (2015),Drama
20150062,Straight Outta Compton (2015),Musical & Performing Arts
20150063,Steve Jobs (2015),Drama
20150064,Welcome To Leith (2015),Documentary
20150065,Best Of Enemies (2015),Documentary
20150066,Beasts of No Nation (2015),Drama
20150067,Slow West (2015),Action & Adventure
20150067,Slow West (2015),Mystery & Suspense
20150068,Janis: Little Girl Blue (2015),Art House & International
20150068,Janis: Little Girl Blue (2015),Documentary
20150069,Clouds of Sils Maria (2015),Drama
20150070,The Wrecking Crew (2015),Documentary
20150070,The Wrecking Crew (2015),Musical & Performing Arts
20150071,We Are Still Here (2015),Horror
20150072,I'll See You in My Dreams (2015),Comedy
20150072,I'll See You in My Dreams (2015),Drama
20150072,I'll See You in My Dreams (2015),Romance
20150073,Hard to be a God (2015),Science Fiction & Fantasy
20150074,Man from Reno (2015),Mystery & Suspense
20150074,Man from Reno (2015),Drama
20150075,Ant-Man (2015),Action & Adventure
20150075,Ant-Man (2015),Mystery & Suspense
20150075,Ant-Man (2015),Comedy
20150075,Ant-Man (2015),Science Fiction & Fantasy
20150076,Queen of Earth (2015),Drama
20150076,Queen of Earth (2015),Mystery & Suspense
20150077,Red Army (2015),Documentary
20150077,Red Army (2015),Sports & Fitness
20150078,The Hunting Ground (2015),Documentary
20150079,The Pearl Button (El bot\xf3n de ne'car) (2015),Documentary
20150080,Mississippi Grind (2015),Drama
20150081,Trainwreck (2015),Comedy
20150082,Mr. Holmes (2015),Art House & International
20150082,Mr. Holmes (2015),Drama
20150082,Mr. Holmes (2015),Mystery & Suspense
20150083,Dope (2015),Comedy
20150083,Dope (2015),Drama
20150084,Boy and the World (O Menino e o Mundo) (2015),Animation
20150084,Boy and the World (O Menino e o Mundo) (2015),Art House & International
20150085,Disneynature Monkey Kingdom (2015),Documentary
20150086,The Lady In The Van (2015),Drama
20150087,The Peanuts Movie (2015),Animation
20150087,The Peanuts Movie (2015),Kids & Family
20150088,James White (2015),Drama
20150089,When Marnie Was There (2015),Animation
20150089,When Marnie Was There (2015),Drama
20150090,Bone Tomahawk (2015),Action & Adventure
20150090,Bone Tomahawk (2015),Western
20150090,Bone Tomahawk (2015),Horror
20150091,Peggy Guggenheim: Art Addict (2015),Documentary
20150092,The Black Panthers: Vanguard Of The Revolution (2015),Documentary
20150093,Sunshine Superman (2015),Documentary
20150093,Sunshine Superman (2015),Special Interest
20150094,The Revenant (2015),Action & Adventure
20150094,The Revenant (2015),Drama
20150095,The Walk (2015),Action & Adventure
20150095,The Walk (2015),Drama
20150096,Mommy (2015),Drama
20150097,Cinderella (2015),Kids & Family
20150097,Cinderella (2015),Science Fiction & Fantasy
20150097,Cinderella (2015),Romance
20150098,Breathe (2015),Drama
20150098,Breathe (2015),Mystery & Suspense
20150099,G\xfceros (2015),Comedy
20150100,Cartel Land (2015),Documentary
20160001,Moonlight (2016),Drama
20160002,Arrival (2016),Drama
20160002,Arrival (2016),Mystery & Suspense
20160002,Arrival (2016),Science Fiction & Fantasy
20160003,Manchester by the Sea (2016),Drama
20160004,La La Land (2016),Comedy
20160004,La La Land (2016),Drama
20160004,La La Land (2016),Musical & Performing Arts
20160005,Zootopia (2016),Action & Adventure
20160005,Zootopia (2016),Animation
20160005,Zootopia (2016),Comedy
20160006,Hell or High Water (2016),Drama
20160006,Hell or High Water (2016),Mystery & Suspense
20160007,Captain America: Civil War (2016),Action & Adventure
20160007,Captain America: Civil War (2016),Science Fiction & Fantasy
20160008,Finding Dory (2016),Animation
20160009,The Jungle Book (2016),Action & Adventure
20160009,The Jungle Book (2016),Kids & Family
20160010,Paterson (2016),Comedy
20160010,Paterson (2016),Drama
20160011,Moana (2016),Action & Adventure
20160011,Moana (2016),Animation
20160011,Moana (2016),Kids & Family
20160012,Kubo and the Two Strings (2016),Action & Adventure
20160012,Kubo and the Two Strings (2016),Animation
20160012,Kubo and the Two Strings (2016),Science Fiction & Fantasy
20160013,Love & Friendship (2016),Comedy
20160014,The Nice Guys (2016),Drama
20160015,Things to Come (L'avenir) (2016),Art House & International
20160015,Things to Come (L'avenir) (2016),Drama
20160016,Doctor Strange (2016),Action & Adventure
20160016,Doctor Strange (2016),Science Fiction & Fantasy
20160017,Weiner (2016),Documentary
20160018,Hunt for the Wilderpeople (2016),Action & Adventure
20160018,Hunt for the Wilderpeople (2016),Comedy
20160019,Eye In The Sky (2016),Drama
20160019,Eye In The Sky (2016),Mystery & Suspense
20160020,The Handmaiden (Ah-ga-ssi) (2016),Art House & International
20160020,The Handmaiden (Ah-ga-ssi) (2016),Drama
20160020,The Handmaiden (Ah-ga-ssi) (2016),Romance
20160021,Sing Street (2016),Art House & International
20160021,Sing Street (2016),Drama
20160021,Sing Street (2016),Musical & Performing Arts
20160022,Don't Think Twice (2016),Comedy
20160023,The Witch (2016),Horror
20160024,Cameraperson (2016),Documentary
20160025,Tower (2016),Animation
20160025,Tower (2016),Documentary
20160026,Fences (2016),Drama
